,tweet,date,hashtag,retweets,tokenized_tweet
168,19 What’s up Beyonce? I’ve heard a 1000 songs that sound the same and I can hear a 1000 more! Cyprus in the final too! #CYP #Eurovision,2018-05-08 13:26:07,#CYP #Eurovision,0,beyonc ve heard song sound hear cypru final cyp eurovis
169,Let it go level 1000 . #EST #Eurovision,2018-05-08 12:43:32,#EST #Eurovision,0,let level est eurovis
170,I am 1000 % Team Israel! #Eurovision,2018-05-08 12:33:07,#Eurovision,0,team israel eurovis
171,"""From your very first smile, I know I would walk a mile."" Well... Vanessa Carlton wanted him a 1000 times more... You've got though competition. #Eurovision",2018-05-08 12:29:04,#Eurovision,0,smile know walk mile vanessa carlton want time ve got competit eurovis
172,Belgium is like for first 12 weeks and after 12 weeks if there is a risk to the mother’s health or foetus. This is very like what is being proposed if #Repealthe8th is passed. As of 2009 there was 9 abortions per 1000 #eurovision,2018-05-08 12:24:49,#Repealthe8th #eurovision,6,belgium like week week risk mother health foetu like propos repealth th pass abort eurovis
173,"Watching #Eurovision with our 6 year old for the first time this year, who's awarded Belgium minus 1000 points @bbceurovision @ireland #NotFancy #EurovisionSongContest",2018-05-08 12:23:17,#Eurovision #NotFancy #EurovisionSongContest,2,watch eurovis year old time year award belgium minu point bbceurovis ireland notfanc eurovisionsongcontest
174,"#ALB not original enough, heard songs like this a 1000 times at the #Eurovision pic.twitter.com/eTokZbZQ7e",2018-05-08 12:20:37,#ALB #Eurovision,0,alb origin heard song like time eurovis pic twitter com etokzbzq
175,Sounds like 1000 #Eurovision we're heard before..,2018-05-08 12:10:27,#Eurovision,0,sound like eurovis heard
176,"As dull as TOGETHER is as a song, the idea that certain TV stations could be forced to beam it into households twice really makes me want to vote for it 1000 times. #Eurovision #allaboard https:// youtu.be/m83IFWf4llY",2018-05-08 05:36:53,#Eurovision #allaboard,0,dull song idea certain tv station forc beam household twice realli make want vote time eurovis allaboard http youtu ifwf lli
177,And how in the world did #Wikipedia know at 09.46 p.m. that #Israel won the #Eurovision while we could vote until 11.00 p.m. and the winning country was announced about 00.45 a.m. ???? pic.twitter.com/mGRH1s9vpr,2018-05-13 03:43:34,#Wikipedia #Israel #Eurovision,2,world did wikipedia know israel won eurovis vote win countri announc pic twitter com mgrh vpr
178,£ 11.00 win on the #eurovision thanks #isr,2018-05-12 17:12:35,#eurovision #isr,0,win eurovis thank isr
179,She could rent that dress for £ 1100 a month in London #eurovision,2018-05-12 12:39:39,#eurovision,0,rent dress month london eurovis
180,At 11.00 CEST LIVE from Lisbon for the Final of #eurovision ! ON https:// buff.ly/2FBAga4 pic.twitter.com/04QpBpNPmu,2018-05-11 01:45:45,#eurovision,0,cest live lisbon final eurovis http buff ly fbaga pic twitter com qpbpnpmu
181,"#Eurovision fever is certainly in full swing across radio & TV! Catch @NickiFrenchie today on BBC Belfast at 08:50, BBC Coventry & Warwickshire at 09:30, Tameside Radio at 11:00 & then on BBC Two Daily Politics at 12:00! #NickiFrench #Eurovision #TV #Radio pic.twitter.com/AWbCbLAx69",2018-05-10 21:09:10,#Eurovision #NickiFrench #Eurovision #TV #Radio,6,eurovis fever certainli swing radio tv catch nickifrenchi today bbc belfast bbc coventri warwickshir tamesid radio bbc daili polit nickifrench eurovis tv radio pic twitter com awbcblax
182,"#Eurovision Israel shouldnt be allowed to compete when doing acts of war, 52 killed 1200 injured, this is how they celebrate #PalestinianLivesMatter",2018-05-14 11:14:19,#Eurovision #PalestinianLivesMatter,0,eurovis israel shouldnt allow compet do act war kill injur celebr palestinianlivesmatt
183,How come the entire world is in on this contest and none of my 1200 channels is showing it??? USA left out #eurovision,2018-05-12 15:46:33,#eurovision,0,come entir world contest channel show usa left eurovis
184,1200 years of European enmities and friendships cast aside in #Eurovision,2018-05-12 15:23:11,#Eurovision,0,year european enmiti friendship cast asid eurovis
185,Watching #eurovision with 1200 other Berliners at an outdoor cinema. Our fab hosts are feeding us shots and cheese & grapes on sticks. Weed is in the air. Israel got the biggest cheer. pic.twitter.com/yC6BsHUN26,2018-05-12 14:18:22,#eurovision,0,watch eurovis berlin outdoor cinema fab host feed shot chees grape stick weed air israel got biggest cheer pic twitter com yc bshun
186,#eurovision think that Viking surrender is about 1200 years too late...,2018-05-12 13:21:16,#eurovision,0,eurovis think vike surrend year late
187,Can anyone tell Denmark they are 1200 years too late? #Eurovision,2018-05-12 13:19:29,#Eurovision,0,tell denmark year late eurovis
188,Oh for sweet loving god. This is so sappy Vermont called and is selling it for $ 12.00 an ounce. #EUROVISION,2018-05-12 12:31:39,#EUROVISION,0,oh sweet love god sappi vermont call sell ounc eurovis
189,"#Eurovision fever is certainly in full swing across radio & TV! Catch @NickiFrenchie today on BBC Belfast at 08:50, BBC Coventry & Warwickshire at 09:30, Tameside Radio at 11:00 & then on BBC Two Daily Politics at 12:00 ! #NickiFrench #Eurovision #TV #Radio pic.twitter.com/AWbCbLAx69",2018-05-10 21:09:10,#Eurovision #NickiFrench #Eurovision #TV #Radio,6,eurovis fever certainli swing radio tv catch nickifrenchi today bbc belfast bbc coventri warwickshir tamesid radio bbc daili polit nickifrench eurovis tv radio pic twitter com awbcblax
190,Top US trends right now 13:00 PT #Eurovision Azealia Banks #ItsAlwaysAGoodTimeFor #SaturdayMorning #AdviceFromChewbacca,2018-05-12 13:00:01,#Eurovision #ItsAlwaysAGoodTimeFor #SaturdayMorning #AdviceFromChewbacca,0,trend right pt eurovis azealia bank itsalwaysagoodtimefor saturdaymorn advicefromchewbacca
191,#Eurovision Factoids: 1. National juries have already voted - after the 'Jury Final' on Friday. 2. Acts have three goes at 'getting it right' including the 'Family Final' at 1300 today so if they seem crap in the 'Televised Final' they probably are crap. 3. Britain won't win :-) https:// twitter.com/bushtheatre/st atus/995264828582318080 …,2018-05-12 04:37:43,#Eurovision,0,eurovis factoid nation juri vote juri final friday act goe get right includ famili final today crap televis final probabl crap britain won win http twitter com bushtheatr st atu
192,Update - 13:00 #Eurovision #Odds : #Sweden ESCplus Prediction rank: #11 (=) Betting Odds rank: #13 (-3) Chances of winning: 6.82% more info: http://www. esc-plus.com/odds - #ESCplusOdds #esc2018,2018-05-11 04:42:05,#Eurovision #Odds #Sweden #11 #13 #ESCplusOdds #esc2018,1,updat eurovis odd sweden escplu predict rank bet odd rank chanc win info esc plu com odd escplusodd esc
193,Top US trends right now 13:00 PT Iran #TeacherAppreciationDay #io18 #Eurovision #TuesdayThoughts,2018-05-08 13:00:02,#TeacherAppreciationDay #io18 #Eurovision #TuesdayThoughts,0,trend right pt iran teacherappreciationday io eurovis tuesdaythought
194,Top US trends right now 14:00 PT #Eurovision Azealia Banks #ItsAlwaysAGoodTimeFor #AdviceFromChewbacca #SaturdayMorning,2018-05-12 14:00:01,#Eurovision #ItsAlwaysAGoodTimeFor #AdviceFromChewbacca #SaturdayMorning,0,trend right pt eurovis azealia bank itsalwaysagoodtimefor advicefromchewbacca saturdaymorn
195,Update - 14:00 #Eurovision #Odds : #CzechRepublic ESCplus Prediction rank: #5 (=) Betting Odds rank: #20 (-2) Chances of winning: 7.95% more info: http://www. esc-plus.com/odds - #ESCplusOdds #esc2018,2018-05-11 05:14:04,#Eurovision #Odds #CzechRepublic #5 #20 #ESCplusOdds #esc2018,1,updat eurovis odd czechrepubl escplu predict rank bet odd rank chanc win info esc plu com odd escplusodd esc
196,"australia, y'all left europe back in 1400 you ain't welcome here anymore #Eurovision",2018-05-10 12:51:15,#Eurovision,0,australia left europ ain welcom anymor eurovis
197,"::: #Eurovision #Lisbon2018 #Semifinal2 ::: (10-05-2018 Altice Arena Arena Lisbon Portugal 21:00 hrs Europe , 14:00 hrs. México ) https:// youtu.be/NOuE9l2aWzI pic.twitter.com/iQavv7uuVn",2018-05-10 07:50:01,#Eurovision #Lisbon2018 #Semifinal2,1,eurovis lisbon semifin altic arena arena lisbon portug hr europ hr méxico http youtu noue awzi pic twitter com iqavv uuvn
198,Top US trends right now 14:00 PT Iran #TeacherAppreciationDay #io18 #Eurovision Mark Ingram,2018-05-08 14:00:01,#TeacherAppreciationDay #io18 #Eurovision,0,trend right pt iran teacherappreciationday io eurovis mark ingram
199,"::: #Eurovision #Lisbon2018 #Semifinal1 ::: (8-05-2018 Altice Arena Lisbon Portugal 21:00 hrs Europe , 14:00 hrs. México ) https:// youtu.be/AnYTtpYYRw4 pic.twitter.com/gsGtQ1QCE6",2018-05-08 06:21:23,#Eurovision #Lisbon2018 #Semifinal1,0,eurovis lisbon semifin altic arena lisbon portug hr europ hr méxico http youtu anyttpyyrw pic twitter com gsgtq qce
200,"**EUROVISION CLAXON** One man and his piano: It's almost time for this year's @BBCSteveR ""Eurovision Request Show"" - coming live from Moscow via the BBC's Facebook Live page. 1400 -1500 BST. Here's a reminder of last year's effort... #Eurovision https://www. youtube.com/watch?v=jeywyB toa2E&feature=youtu.be …",2018-05-08 01:50:44,#Eurovision,1,eurovis claxon man piano time year bbcstever eurovis request come live moscow bbc facebook live page bst remind year effort eurovis youtub com watch jeywyb toa featur youtu
201,Disassemble bikes. Drive 1500 miles Reassemble bikes (thanks @BC_Cycles for tips!) Cycle an hour+ as recorded by @fitbit Vitality points awarded: 0. Now I know what the UK’s entry to #Eurovision must feel like.,2018-05-17 03:22:24,#Eurovision,0,disassembl bike drive mile reassembl bike thank bc cycl tip cycl hour record fitbit vital point award know uk entri eurovis feel like
202,"#eurovision Almost winning Eurovision at 23:35, playing Huddersfield away at 15:00 . pic.twitter.com/eHNFzzlzyf",2018-05-12 15:37:49,#eurovision,0,eurovis win eurovis play huddersfield away pic twitter com ehnfzzlzyf
203,Top US trends right now 15:00 PT #Eurovision Azealia Banks #SaturdayMorning #ItsAlwaysAGoodTimeFor #MINvSJ,2018-05-12 15:00:02,#Eurovision #SaturdayMorning #ItsAlwaysAGoodTimeFor #MINvSJ,0,trend right pt eurovis azealia bank saturdaymorn itsalwaysagoodtimefor minvsj
204,#ESC2018 #eurovision #allaboard Interesting that after Portugal tonight it was 1500 songs in the shows history.,2018-05-12 14:49:44,#ESC2018 #eurovision #allaboard,0,esc eurovis allaboard interest portug tonight song show histori
205,we was nearly 1500 #Eurovision,2018-05-12 12:51:54,#Eurovision,0,nearli eurovis
206,"Well it’s not *amazing* that 1500 songs have been performed, is it? That’s just a function of the rules and the length of time it’s been on, surely? #Eurovision",2018-05-12 12:49:35,#Eurovision,2,amaz song perform just function rule length time sure eurovis
207,‘If you listen to all 1500 #Eurovision entries back to back you’ll be listening for over 73 hours.’ Still 6 hours less than tonight’s show will go on for.,2018-05-12 12:49:33,#Eurovision,0,listen eurovis entri ll listen hour hour tonight
208,What? We don't listen to all 1500 songs straight? Do we listen to it gay? #eurovision,2018-05-12 12:49:27,#eurovision,0,don listen song straight listen gay eurovis
209,1500 songs performed in Eurovision and the 1500th was meh. #Eurovision #Eurovision2018,2018-05-12 12:49:20,#Eurovision #Eurovision2018,0,song perform eurovis th meh eurovis eurovis
210,Anyone got a Spotify link for a playlist of all 1500 songs #eurovision,2018-05-12 12:49:13,#eurovision,1,got spotifi link playlist song eurovis
211,#Eurovision 1500 songs?? How many steps is that?,2018-05-12 12:49:09,#Eurovision,0,eurovis song step
212,Over 1500 songs? Probably 1500 songs too many tbh #Eurovision,2018-05-12 12:48:47,#Eurovision,0,song probabl song tbh eurovis
213,Over 1500 songs have been performed so far. And that's just tonight? #Eurovision,2018-05-12 12:48:36,#Eurovision,0,song perform far just tonight eurovis
214,"#Ukraine with the new vampire 2000 coffin, all the the features of the last model but with Bluetooth and 1500 international minutes, discount Twilight cosplay optional #eurovision",2018-05-12 12:19:14,#Ukraine #eurovision,0,ukrain new vampir coffin featur model bluetooth intern minut discount twilight cosplay option eurovis
215,In order to try and avoid all things #Eurovision today the tried and trusted pub crawl with friends will be applied commencing around 15:00 hours. Bring it on!,2018-05-12 02:31:40,#Eurovision,0,order tri avoid thing eurovis today tri trust pub crawl friend appli commenc hour bring
216,Who better to bring Eurovision song 1500 than Rybak?? #Eurovision #AllAboard #Fairytale pic.twitter.com/poDXuEBpVb,2018-05-11 05:52:34,#Eurovision #AllAboard #Fairytale,0,better bring eurovis song rybak eurovis allaboard fairytal pic twitter com podxuebpvb
217,#nikkietutorials #instagramlive with #elenifoureira #foureira_eleni https:// youtu.be/DXGSydak2Ms 04:19- 15:00 #Fuego #Eurovision #eurovisiongr #Eurovision18 #Eurovision2018 #EurovisionCY #Greece #Hellas #Albania #Cyprus,2018-05-11 03:29:48,#nikkietutorials #instagramlive #elenifoureira #foureira_eleni #Fuego #Eurovision #eurovisiongr #Eurovision18 #Eurovision2018 #EurovisionCY #Greece #Hellas #Albania #Cyprus,0,nikkietutori instagraml elenifoureira foureira eleni http youtu dxgsydak ms fuego eurovis eurovisiongr eurovis eurovis eurovisionci greec hella albania cypru
218,"1500 songs already?! Wow! Now it's time for the first entry. Of course, it's Norway and @AlexanderRybak . #Eurovision",2018-05-10 19:34:48,#Eurovision,0,song wow time entri cours norway alexanderrybak eurovis
219,"Norway having the 1500 song is like having your 5,000th tweet be an RT of a Guardian article. #eurovision",2018-05-10 13:28:03,#eurovision,0,norway have song like have th tweet rt guardian articl eurovis
220,"Happy 1500 #Eurovision performance! And it has to be the 2009 champ, @AlexanderRybak ! He looked super neatly dressed and ... younger than 9 years ago?! I reeeeeally like this! Top 10 for sure! #eurovision2018 #esc #norway #nor #thatshowyouwriteasong",2018-05-10 12:16:26,#Eurovision #eurovision2018 #esc #norway #nor #thatshowyouwriteasong,1,happi eurovis perform champ alexanderrybak look super neatli dress younger year ago reeeeealli like sure eurovis esc norway thatshowyouwriteasong
221,"1500 songs in #Eurovision history. But can you name them all? 1. Hard Rock Hallelujah 2. Ooer, this is tough 3. Something about love, probably",2018-05-10 12:11:33,#Eurovision,36,song eurovis histori hard rock hallelujah ooer tough love probabl
222,#1 #Eurovision SF 2 - Rybak is not on top vocally talking at the beginning - but of course he knows how to be on stage - song nr 1500 of #ESC -,2018-05-10 12:09:23,#1 #Eurovision #ESC,0,eurovis sf rybak vocal talk begin cours know stage song nr esc
223,I'm glad i have song 1500 in #Eurovision . But it implies lots of pressure.- Oslo Eurofriend,2018-05-10 12:08:36,#Eurovision,0,glad song eurovis impli lot pressur oslo eurofriend
224,Song 1500 is one of the bad ones from the list. #Eurovision #nor,2018-05-10 12:08:29,#Eurovision #nor,2,song bad one list eurovis
225,"Oh, song no 1500 ! Crossing fingers for Alexander Rybak, it's maybe something special? #Eurovision",2018-05-10 12:06:40,#Eurovision,2,oh song cross finger alexand rybak mayb special eurovis
226,Does that total of 1500 songs include the 1996 non-qualifiers? #Eurovision,2018-05-10 12:06:37,#Eurovision,0,doe total song includ non qualifi eurovis
227,It really took them 1500 tries before they found out how you write a song huh #Eurovision #ESC2018,2018-05-10 12:06:36,#Eurovision #ESC2018,0,realli took tri write song huh eurovis esc
228,Song number 1500 . #Eurovision #AllAboard,2018-05-10 12:06:05,#Eurovision #AllAboard,0,song number eurovis allaboard
230,1500 is also the number of wines I’ll have on Saturday night #Eurovision,2018-05-10 12:05:36,#Eurovision,0,number wine ll saturday night eurovis
231,"song no. 1500 in ESC history, that's Alexander Rybak!!! #Eurovision",2018-05-10 12:05:35,#Eurovision,2,song esc histori alexand rybak eurovis
232,1500 songs. And that was just the last semi final. #Eurovision,2018-05-10 12:05:33,#Eurovision,2,song just semi final eurovis
233,1500 #eurovision songs. That’s mildly terrifying. And doesn’t even include national finals.,2018-05-10 12:05:32,#eurovision,1,eurovis song mildli terrifi doesn includ nation final
234,Wow song number 1500 In #Eurovision history!!!,2018-05-10 12:05:22,#Eurovision,0,wow song number eurovis histori
235,What a waste of the 1500 song tbh #Eurovision #ESC2018,2018-05-10 12:05:21,#Eurovision #ESC2018,1,wast song tbh eurovis esc
236,Top US trends right now 15:00 PT Iran #io18 #Eurovision Mark Ingram #StupidQuestionsForTheEPA,2018-05-08 15:00:01,#io18 #Eurovision #StupidQuestionsForTheEPA,0,trend right pt iran io eurovis mark ingram stupidquestionsfortheepa
237,"Well, we’ve had 1499 songs on the #eurovision stage. Thursday’s semi final will open with song #1500 (It’s #Norway BTW)… but now. 10 will go forward to Saturday, 9 will fall… 19 ran.",2018-05-08 13:28:26,#eurovision #1500 #Norway,12,ve song eurovis stage thursday semi final open song norway btw forward saturday fall… ran
238,"It's nearly that time again... #Eurovision is back! Join us on Saturday ( 15:00 BST, 16:00 CEST) as our experts @ItsOnlyJP & Julie Farrell review this year's finalists, reveal their picks and ask you for your opinions on the 2018 competition. Listen live at http://www. brooklandsradio.co.uk pic.twitter.com/1zGTVv9HOj",2018-05-08 12:01:55,#Eurovision,0,nearli time eurovis join saturday bst cest expert itsonlyjp juli farrel review year finalist reveal pick ask opinion competit listen live brooklandsradio uk pic twitter com zgtvv hoj
248,"**EUROVISION CLAXON** One man and his piano: It's almost time for this year's @BBCSteveR ""Eurovision Request Show"" - coming live from Moscow via the BBC's Facebook Live page. 1400- 1500 BST. Here's a reminder of last year's effort... #Eurovision https://www. youtube.com/watch?v=jeywyB toa2E&feature=youtu.be …",2018-05-08 01:50:44,#Eurovision,1,eurovis claxon man piano time year bbcstever eurovis request come live moscow bbc facebook live page bst remind year effort eurovis youtub com watch jeywyb toa featur youtu
249,Your correspondent with the crotchets. Today I'll be at the piano to play all your #Eurovision requests. Live on the BBC News Facebook page at 2pm UK ( 1500 CET). @Eurovision @bbceurovision pic.twitter.com/23Gnvaklxr,2018-05-08 01:29:38,#Eurovision,27,correspond crotchet today ll piano play eurovis request live bbc news facebook page pm uk cet eurovis bbceurovis pic twitter com gnvaklxr
250,"Salvador Sobral on a very funny and informal interview for Portuguese TV saying how much he enjoyed meeting Amaia y Alfred and that the Spanish song was his favorite (min. 16:00 ). Recorded yesterday, before the final. #ESP #Eurovision #ESC2018 #AllAboard https:// youtu.be/qVh_ZruejkM?t= 16m …",2018-05-13 05:10:29,#ESP #Eurovision #ESC2018 #AllAboard,2,salvador sobral funni inform interview portugues tv say enjoy meet amaia alfr spanish song favorit min record yesterday final esp eurovis esc allaboard http youtu qvh zruejkm
251,Top US trends right now 16:00 PT #Eurovision #INDYCARGP #PORvORL Azealia Banks #AdviceFromChewbacca,2018-05-12 16:00:01,#Eurovision #INDYCARGP #PORvORL #AdviceFromChewbacca,0,trend right pt eurovis indycargp porvorl azealia bank advicefromchewbacca
252,"Did the Dutch have a colony in Texas in th 1600 's? #NED Props tho, sounds legit. #allaboard #Eurovision",2018-05-12 13:58:16,#NED #allaboard #Eurovision,0,did dutch coloni texa th ned prop tho sound legit allaboard eurovis
253,Hoy! 16:00 hrs #Chile final #Eurovision https:// twitter.com/eurovision/sta tus/995260727719092224 …,2018-05-12 07:40:23,#Chile #Eurovision,0,hoy hr chile final eurovis http twitter com eurovis sta tu
254,"Since i stole your attention I best share my #pick7 horses, merci gentlemen be lucky & enjoy #Eurovision ps. Cypruski won 13:55 Ling Perfect Clarity 14:15 Asc Twin Star 14:30 Ling Corelli 14:50 Asc Salouen 15:10 Hay Chesterfield 15:25 Asc Urban Fox 16:00 Asc Repercussion",2018-05-12 02:50:15,#pick7 #Eurovision,0,stole attent best share pick hors merci gentlemen lucki enjoy eurovis ps cypruski won ling perfect clariti asc twin star ling corelli asc salouen hay chesterfield asc urban fox asc repercuss
255,when you got an arts&craft class at 16:00 but the Eurovision's at 17:00 #Eurovision pic.twitter.com/Uyp4puBqFT,2018-05-08 13:08:55,#Eurovision,3,got art craft class eurovis eurovis pic twitter com uyp pubqft
256,Why has Estonia gone from 8.00 to 16.00 ? Is Europe that tasteless? #eurovision,2018-05-08 13:01:30,#eurovision,0,estonia gone europ tasteless eurovis
257,"It's nearly that time again... #Eurovision is back! Join us on Saturday (15:00 BST, 16:00 CEST) as our experts @ItsOnlyJP & Julie Farrell review this year's finalists, reveal their picks and ask you for your opinions on the 2018 competition. Listen live at http://www. brooklandsradio.co.uk pic.twitter.com/1zGTVv9HOj",2018-05-08 12:01:55,#Eurovision,0,nearli time eurovis join saturday bst cest expert itsonlyjp juli farrel review year finalist reveal pick ask opinion competit listen live brooklandsradio uk pic twitter com zgtvv hoj
258,"Do you like languages but you never know who to practice with? Or are you just in the mood for a fun international afternoon? This is the event for you :D We start at 17.00 >> Come join us, it's free! #LanguageMeeting #Eurovision #Esc2018 https://www. facebook.com/GlobalaKronobe rg/posts/2135885096443825 …",2018-05-17 02:56:09,#LanguageMeeting #Eurovision #Esc2018,0,like languag know practic just mood fun intern afternoon event start come join free languagemeet eurovis esc facebook com globalakronob rg post
259,"Yay, Israel is celebrating winning of Eurovision Song Contest. Till this time 37 killed, 900- 1700 hurt. Happy Eurovision Israel, happy Eurovision @NettaBarzilai Hoping you are proud. Is this rather #genocide or manifestation of #power . #eurovision pic.twitter.com/Tnc5fQ0u1V",2018-05-14 08:07:04,#genocide #power #eurovision,0,yay israel celebr win eurovis song contest till time kill hurt happi eurovis israel happi eurovis nettabarzilai hope proud genocid manifest power eurovis pic twitter com tnc fq
260,Only lost 1 follower after the #eurovision tweets! A pleasant surprise. Back tomorrow streaming from around 17:00 CET. Night all!,2018-05-12 17:03:05,#eurovision,0,lost follow eurovis tweet pleasant surpris tomorrow stream cet night
261,Top US trends right now 17:00 PT #Eurovision #INDYCARGP Azealia Banks #HonestGraduationSpeeches #PORvORL,2018-05-12 17:00:01,#Eurovision #INDYCARGP #HonestGraduationSpeeches #PORvORL,0,trend right pt eurovis indycargp azealia bank honestgraduationspeech porvorl
262,Italy ran out of good music by 1700 . #Eurovision,2018-05-12 14:09:25,#Eurovision,0,itali ran good music eurovis
264,Update - 17:00 #Eurovision #Odds : #Denmark ESCplus Prediction rank: #17 (=) Betting Odds rank: #19 (-1) Chances of winning: 4.93% more info: http://www. esc-plus.com/odds - #ESCplusOdds #esc2018,2018-05-08 08:56:02,#Eurovision #Odds #Denmark #17 #19 #ESCplusOdds #esc2018,0,updat eurovis odd denmark escplu predict rank bet odd rank chanc win info esc plu com odd escplusodd esc
265,#championVision is here. All #eurovision winners - who will be our favourite? Vote by you and the juries - voting closes 1/6/18 1800 cest ... https:// nfandrachansen.wordpress.com/2018/05/22/nfa c-35-championvision/ …,2018-05-25 08:35:10,#championVision #eurovision,0,championvis eurovis winner favourit vote juri vote close cest http nfandrachansen wordpress com nfa championvis
266,Top US trends right now 18:00 PT #Eurovision #UFC224 #VGKvsWPG Adames #Svengoolie,2018-05-12 18:00:02,#Eurovision #UFC224 #VGKvsWPG #Svengoolie,0,trend right pt eurovis ufc vgkvswpg adam svengooli
267,"There are over 2000 accredited journalists covering Eurovision, from over 80 countries. 1800 pigeon holes for correspondence, and 750 workstations in the Press Center. #Eurovision #AllAboard",2018-05-12 15:00:40,#Eurovision #AllAboard,3,accredit journalist cover eurovis countri pigeon hole correspond workstat press center eurovis allaboard
268,China living in the 1800 ’s #eurovision #IRL,2018-05-12 14:01:44,#eurovision #IRL,0,china live eurovis irl
269,"Don't forget we're closed from 18:00 tonight to set up for our #Eurovision party. We reopen at 19:00 for our party which is fully-booked, you can still get drinks @VicoloNewcastle or food/drink at the Tyneside Coffee Rooms pic.twitter.com/7qYeeJVijF",2018-05-12 05:30:00,#Eurovision,1,don forget close tonight set eurovis parti reopen parti fulli book drink vicolonewcastl food drink tynesid coffe room pic twitter com qyeejvijf
270,We’re open from 9:00- 18:00 today for all your #Eurovision snack needs. And Feather boa needs. Pop over and top up on the Eurovision boy at our place. pic.twitter.com/8TwTfBqwtV,2018-05-12 00:41:32,#Eurovision,3,open today eurovis snack need feather boa need pop eurovis boy place pic twitter com twtfbqwtv
271,"It's almost time for EUROVISION! We're closed from 18:00 -19:00 tomorrow (Sat 12 May) to set up for our #Eurovision party - it's fully booked but you can still get food + drink at Tyneside Coffee Rooms (last orders 9pm), or drinks at @VicoloNewcastle until midnight pic.twitter.com/k7XieiM1Ck",2018-05-11 06:58:30,#Eurovision,2,time eurovis close tomorrow sat set eurovis parti fulli book food drink tynesid coffe room order pm drink vicolonewcastl midnight pic twitter com xieim ck
272,It's Eurovision Week! Did you know that recycled materials were used in Australia as early as the 1800 ’s? #nowyou know #Eurovision #Recycling #Globaleffort pic.twitter.com/tYt2Ds3H62,2018-05-11 03:55:08,#nowyou #Eurovision #Recycling #Globaleffort,0,eurovis week did know recycl materi use australia earli nowyou know eurovis recycl globaleffort pic twitter com tyt ds
273,Update - 18:00 #Eurovision #Odds : #Spain ESCplus Prediction rank: #8 (=) Betting Odds rank: #23 (-1) Chances of winning: 7.73% more info: http://www. esc-plus.com/odds - #ESCplusOdds #esc2018,2018-05-10 09:42:03,#Eurovision #Odds #Spain #8 #23 #ESCplusOdds #esc2018,0,updat eurovis odd spain escplu predict rank bet odd rank chanc win info esc plu com odd escplusodd esc
274,"Ooh, Ruslana is performing at the #Eurovision village on Saturday at 18:00 . Apparently, she'll be finished in time for the screening of the Final at 20:00. That seems... optimistic.",2018-05-09 07:47:29,#Eurovision,0,ooh ruslana perform eurovis villag saturday appar ll finish time screen final optimist
275,British commentators “ #Eurovision in #Jerusalem would hold the live rounds” (and calling the killings in Gaza a #massacre on @bbc ) Minute 19:00 https:// youtu.be/GMrzza_YDzA,2018-05-22 11:44:19,#Eurovision #Jerusalem #massacre,0,british comment eurovis jerusalem hold live round call kill gaza massacr bbc minut http youtu gmrzza ydza
276,"Congratulations to #Israel on winning 2018's #Eurovision ! Here's a Roman-era 1900 year old inscription which mentions an unknown official: ""The city of Dor honours Marcus Paccius...governor of the province of Judea"". Photo: Jenny Carmel. @MagicalEurope @irarchaeology pic.twitter.com/MB3l2qaDiG",2018-05-13 05:00:56,#Israel #Eurovision,0,congratul israel win eurovis roman era year old inscript mention unknown offici citi dor honour marcu pacciu governor provinc judea photo jenni carmel magicaleurop irarchaeolog pic twitter com mb qadig
277,Top US trends right now 19:00 PT #LinaresLoma #UFC224 #Eurovision #InventAnIllness #VGKvsWPG,2018-05-12 19:00:00,#LinaresLoma #UFC224 #Eurovision #InventAnIllness #VGKvsWPG,0,trend right pt linaresloma ufc eurovis inventanil vgkvswpg
278,"For #AUT we have ‘nobody but’ this porcelain figure of a reclining child, made in Austria in around 1900 . #Eurovision pic.twitter.com/zDNxZiFruU",2018-05-12 12:36:12,#AUT #Eurovision,0,aut porcelain figur reclin child austria eurovis pic twitter com zdnxzifruu
280,18:30 --> #ElGranDerbi 19:00 --> @RMBaloncesto - @UCAMMurcia 20:45 --> @realmadrid - @RCCelta 21:00 --> #Eurovision,2018-05-12 02:10:35,#ElGranDerbi #Eurovision,0,elgranderbi rmbaloncesto ucammurcia realmadrid rccelta eurovis
281,"Seriously, if you don't want your feed filled with mindless drivel about Eurovision I suggest you mute me from about 19:00 today. #Eurovision #Eurovision2018",2018-05-11 23:06:56,#Eurovision #Eurovision2018,0,serious don want feed fill mindless drivel eurovis suggest mute today eurovis eurovis
282,"It's almost time for EUROVISION! We're closed from 18:00- 19:00 tomorrow (Sat 12 May) to set up for our #Eurovision party - it's fully booked but you can still get food + drink at Tyneside Coffee Rooms (last orders 9pm), or drinks at @VicoloNewcastle until midnight pic.twitter.com/k7XieiM1Ck",2018-05-11 06:58:30,#Eurovision,2,time eurovis close tomorrow sat set eurovis parti fulli book food drink tynesid coffe room order pm drink vicolonewcastl midnight pic twitter com xieim ck
283,Tonight at 21.00 CEST II Semifinal is ON! We are live from #Lisbon from 19.00 ON https:// buff.ly/2FBAga4 #eurovision #EUROSTONata pic.twitter.com/urv0tDP2mx,2018-05-11 02:59:02,#Lisbon #eurovision #EUROSTONata,0,tonight cest ii semifin live lisbon http buff ly fbaga eurovis eurostonata pic twitter com urv tdp mx
