,tweet,date,hashtag,retweets,tokenized_tweet
67,"Absolutely here for Italy’s message but I can’t get past the fact I’m 1000 % sure the guy with shorter hair goes everywhere with at least one small, temperamental dog in a designer leather collar. #Eurovision",2018-05-12 14:10:11,#Eurovision,4,absolut itali messag past fact sure guy shorter hair goe small temperament dog design leather collar eurovis
68,#Eurovision should recreate real life by charging fans of the finalists £ 1000 a seat. #UEFA,2018-05-12 14:09:12,#Eurovision #UEFA,0,eurovis recreat real life charg fan finalist seat uefa
69,1000 points to Cyprus #Eurovision,2018-05-12 14:06:59,#Eurovision,0,point cypru eurovis
70,It was quite a good song. #votecyprus #eurovision,2018-05-12 14:06:21,#votecyprus #eurovision,0,quit good song votecypru eurovis
71,#CYP performance would 1000 % better if they'd just bring out the dancing tigers in sparkle shorts already.... #Eurovision,2018-05-12 14:06:20,#CYP #Eurovision,0,cyp perform better just bring danc tiger sparkl short eurovis
72,OK THE GAYNESS MADE IT 1000 % BETTER THANK YOU #Eurovision,2018-05-12 14:01:59,#Eurovision,2,ok gay better thank eurovis
73,IRELAND HAS MY FULL SUPPORT THE SONG IS SO SWEET AND THE CHOREOGRAPHY IS SO WELL MADE 1000 /10 #EUROVISION #IRL,2018-05-12 14:00:59,#EUROVISION #IRL,0,ireland support song sweet choreographi eurovis irl
74,I love Israel’s Night of 1000 Madonnas look #Eurovision,2018-05-12 13:55:29,#Eurovision,0,love israel night madonna look eurovis
75,1000 RT #Eurovision pic.twitter.com/axhaWDcwtE,2018-05-12 13:55:28,#Eurovision,0,rt eurovis pic twitter com axhawdcwt
76,What the actual f*ck 0/ 1000 #Eurovision #ISR,2018-05-12 13:54:49,#Eurovision #ISR,0,actual ck eurovis isr
77,Turns or you need 1000 lucky cats for them to work! I've been doing it wrong #Eurovision #Israel pic.twitter.com/sRs4jrl58b,2018-05-12 13:53:55,#Eurovision #Israel,0,turn need lucki cat work ve do wrong eurovis israel pic twitter com sr jrl
78,"OMG YASSS ISRAEL SERVING A DELICIOUS BALANCE OF KINKY ASIAN HOUSEHOLD WITH GOOD LUCK KITTIES, NIGHT OF 1000 's MADONNA'S IN DRAG. PYROTECHNICS AND LOOPS 5 DAYS <3 #GIMMETHATMAKEUP #ISR #SBSEurovision #Eurovision pic.twitter.com/5SJFDwuyef",2018-05-12 13:53:06,#GIMMETHATMAKEUP #ISR #SBSEurovision #Eurovision,0,omg yasss israel serv delici balanc kinki asian household good luck kitti night madonna drag pyrotechn loop day gimmethatmakeup isr sbseurovis eurovis pic twitter com sjfdwuyef
79,- 1000 /10. That was abhorrent. #ISR #EUROVISION,2018-05-12 13:52:55,#ISR #EUROVISION,0,abhorr isr eurovis
80,Israel's about to launch 1000 thinkpieces. #Eurovision pic.twitter.com/tJB4M2dcub,2018-05-12 13:52:46,#Eurovision,2,israel launch thinkpiec eurovis pic twitter com tjb dcub
81,Night of 1000 chicken madonnas #Eurovision,2018-05-12 13:52:38,#Eurovision,0,night chicken madonna eurovis
82,I am 1000 % here for people performing on the #Eurovision stage in yoga pants. I'm watching in yoga pants.,2018-05-12 13:52:35,#Eurovision,0,peopl perform eurovis stage yoga pant watch yoga pant
83,1000 years of music leading up to this moment #EUROVISION #israel,2018-05-12 13:51:27,#EUROVISION #israel,1,year music lead moment eurovis israel
84,@surieofficial I know you've heard this 1000 times tonight but massive respect to you. You've done the UK proud #Eurovision,2018-05-12 13:50:22,#Eurovision,0,surieoffici know ve heard time tonight massiv respect ve uk proud eurovis
85,Brace yourself. Israel’s #EUROVISION entry is 1000 % Eurovision.,2018-05-12 13:49:57,#EUROVISION,0,brace israel eurovis entri eurovis
86,Hungary 1000 POINTS #Eurovision,2018-05-12 13:47:46,#Eurovision,0,hungari point eurovis
87,I am 1000 % here for this. #hun #eurovision,2018-05-12 13:47:06,#hun #eurovision,0,hun eurovis
88,GET THEM THE FUCK OUT NORWAY HAS ALREADY WON GET OUT SWEDEN SMALAHOVE KJØTTKAKER COOP OBS REMA 1000 SMØRKRISA 2011 #SWE #Eurovision #ESC2018,2018-05-12 13:44:45,#SWE #Eurovision #ESC2018,6,fuck norway won sweden smalahov kjøttkaker coop ob rema smørkrisa swe eurovis esc
89,OMG 1000 /10!!!!!! #eurovision #SWE,2018-05-12 13:44:12,#eurovision #SWE,0,omg eurovis swe
90,Felix be like: 1000 /10 Sweden #Eurovision #SWE,2018-05-12 13:42:13,#Eurovision #SWE,0,felix like sweden eurovis swe
91,Can we not even try to win #EUROVISION like seriously throw ed Sheeran on the stage we have 1000 worldwide British pop stars that could win,2018-05-12 13:39:40,#EUROVISION,0,tri win eurovis like serious throw ed sheeran stage worldwid british pop star win
92,Your dude in red wants this song to be 1000 % more operatic than it is #Eurovision,2018-05-12 13:39:34,#Eurovision,0,dude red want song operat eurovis
93,I am 1000 % here for Finland’s performance. #EUROVISION,2018-05-12 13:34:36,#EUROVISION,0,finland perform eurovis
94,I could totally see myself dancing to the Finland track in my bra on a stage somewhere after 1000 wines. #Eurovision,2018-05-12 13:33:52,#Eurovision,1,total danc finland track bra stage wine eurovis
95,1000 years later and everyone will still be wondering why Australia is here #eurovision,2018-05-12 13:29:29,#eurovision,0,year later wonder australia eurovis
96,one of my mates have just sent me this on Facebook If people know me this looks 1000 % like me! #Eurovision @lewis_ganners @Rebekah4893 pic.twitter.com/ogVMAF7c4J,2018-05-12 13:27:51,#Eurovision,0,mate just sent facebook peopl know look like eurovis lewi ganner rebekah pic twitter com ogvmaf
97,1000 years ago there was a Viking boyband called Bludzone and they stormed over #europe #Eurovision https:// twitter.com/bbceurovision/ status/995398011286097921 …,2018-05-12 13:26:38,#europe #Eurovision,0,year ago vike boyband call bludzon storm europ eurovis http twitter com bbceurovis statu
98,I HAVE TO REWIND AND WATCH DENMARK 1000 times!!! #Eurovision,2018-05-12 13:24:47,#Eurovision,8,rewind watch denmark time eurovis
99,Graham keeps talking about how everyone likes the Australian singer. EVERYONE LIKES AUSTRALIA @grahnort ! They don't have the 1000 year history of hating each other the rest of Europe has #eurovision,2018-05-12 13:23:24,#eurovision,0,graham keep talk like australian singer like australia grahnort don year histori hate rest europ eurovis
100,"Mr B feels that Denmark may be overplaying the Viking card - he has a point, I mean what’ve they been up to the last 1000 years eh? #Eurovision",2018-05-12 13:21:59,#Eurovision,0,mr feel denmark overplay vike card point mean ve year eh eurovis
101,"Denmark's song is so typical Eurovision somehow, drama level 1000 #Eurovision",2018-05-12 13:21:43,#Eurovision,1,denmark song typic eurovis drama level eurovis
102,"#Eurovision at 9:00, guarding The Wall at 10:00 #GoT #DEN #Eurovision2018",2018-05-12 13:21:14,#Eurovision #GoT #DEN #Eurovision2018,2,eurovis guard wall got den eurovis
103,Norway is if Tormund Giantsbane decided to become a pop singer and I'm 1000 % on board. #Eurovision,2018-05-12 13:20:38,#Eurovision,0,norway tormund giantsban decid pop singer board eurovis
104,"You can laugh, but this close harmony singing from the Danes would have had the Anglo Saxons scurrying in fear 1000 years ago #Eurovision",2018-05-12 13:20:25,#Eurovision,2,laugh close harmoni sing dane anglo saxon scurri fear year ago eurovis
105,If real vikings jumped forward a 1000 years and saw these lads then decapitations would swiftly follow #eurovision,2018-05-12 13:20:24,#eurovision,0,real vike jump forward year saw lad decapit swiftli follow eurovis
106,"Oh great another Viking as we didn’t have enough of them 1000 years ago, thanks Denmark for the bad memories #Eurovision @bbceurovision",2018-05-12 13:19:59,#Eurovision,0,oh great vike didn year ago thank denmark bad memori eurovis bbceurovis
107,- 1000 /10 because of the backpack dance #eurovision #CZE https:// twitter.com/Eurovision/sta tus/995397661355212800 …,2018-05-12 13:19:49,#eurovision #CZE,1,backpack danc eurovis cze http twitter com eurovis sta tu
108,#Eurovision this must be how the vikings invaded europe 1000 years ago...singing on their ships #den,2018-05-12 13:19:08,#Eurovision #den,0,eurovis vike invad europ year ago sing ship den
109,A song 1000 years in the making #DEN #Eurovision,2018-05-12 13:18:37,#DEN #Eurovision,0,song year make den eurovis
110,Burning 1000 calories with this year's Eurovision... #Eurovision,2018-05-12 13:17:02,#Eurovision,0,burn calori year eurovis eurovis
111,1000 points from México #Eurovision https:// twitter.com/Eurovision/sta tus/995397198329233408 …,2018-05-12 13:16:40,#Eurovision,0,point méxico eurovis http twitter com eurovis sta tu
112,#EUROVISION I forgot to bet someone £ 1000 that France would only sing in french dammit that was a sure thing.,2018-05-12 13:13:56,#EUROVISION,0,eurovis forgot bet franc sing french dammit sure thing
113,You bet I just ran as fast I humanely could out of work to get to watch #Eurovision . Think I burned 1000 calories.,2018-05-12 13:10:06,#Eurovision,0,bet just ran fast human work watch eurovis think burn calori
114,“Hello yes I would like to look well kinky while I sing a tedious ballad .... 1000 godets and an archery brace? Sounds banging” #eurovision,2018-05-12 13:08:18,#eurovision,0,hello ye like look kinki sing tediou ballad godet archeri brace sound bang eurovis
115,"Albania. If you need a pee this is a good chance. You will miss absolutely nothing of interest with even a faint hope of winning #Eurovision . Another 1000 -1 shit, I mean shot.",2018-05-12 13:04:39,#Eurovision,0,albania need pee good chanc miss absolut faint hope win eurovis shit mean shot
116,So this song from #Ger has so many @OneRepublic vibes from it. I love it. 1000 % gonna be playing this for the next month. EPIC. #Eurovision,2018-05-12 13:04:39,#Ger #Eurovision,0,song ger onerepubl vibe love gon na play month epic eurovis
117,1000 points for Annie Lennox who still kept singing! #Eurovision #GBR,2018-05-12 13:02:23,#Eurovision #GBR,0,point anni lennox kept sing eurovis gbr
118,#Eurovision #GBR got used to listening to @surieofficial 's storm since there is a tendency by the BBC Radio 2 hosts like @achrisevans and Ken Bruce to play it on their usual Morning Show programmes which air on British time 06:30- 10:00 or Eastern time 01:30-05:00 weekdays,2018-05-12 12:58:03,#Eurovision #GBR,0,eurovis gbr got use listen surieoffici storm tendenc bbc radio host like achrisevan ken bruce play usual morn programm air british time eastern time weekday
119,I love how the British #Eurovision singer just got 1000 % more fierce and powerful after that disgusting incident. She just took the message to the next level. #Eurovision2018,2018-05-12 12:56:27,#Eurovision #Eurovision2018,78,love british eurovis singer just got fierc power disgust incid just took messag level eurovis
120,Great performance by SuRie on #Eurovision . Fingers crossed.,2018-05-12 12:56:06,#Eurovision,2,great perform suri eurovis finger cross
121,Crush 1000 #eurovision,2018-05-12 12:52:47,#eurovision,0,crush eurovis
122,"The 1967 Abortion Act was never extended to Northern Ireland,abortion is only legal in very imited circumstances. Around 1000 a year travel to Britain for care, funding recently was introduced for this treatment. We're based in NI and fight for decriminalisation. #Eurovision #GBR",2018-05-12 12:52:44,#Eurovision #GBR,25,abort act extend northern ireland abort legal imit circumst year travel britain care fund recent introduc treatment base ni fight decriminalis eurovis gbr
123,YOU ARE NOT EUROPE BYE FARMERS - 1000 /10 #Eurovision #GRB,2018-05-12 12:52:30,#Eurovision #GRB,0,europ bye farmer eurovis grb
124,So Isaura is 1000 % my type and it's honestly kinda scary #thatbifeel #Eurovision #ESC2018 #esp #thesongwriternotthesinger #shortdarkhair,2018-05-12 12:47:38,#thatbifeel #Eurovision #ESC2018 #esp #thesongwriternotthesinger #shortdarkhair,0,isaura type honestli kinda scari thatbifeel eurovis esc esp thesongwriternotthesing shortdarkhair
125,1000 % watching Eurovision on my hen party #Eurovision #hen #henparty #bride,2018-05-12 12:45:30,#Eurovision #hen #henparty #bride,1,watch eurovis hen parti eurovis hen henparti bride
126,"In all seriousness, it's nice to have a female playing the T- 1000 for once #Eurovision #JudgmentDay pic.twitter.com/5HOp3JCD0C",2018-05-12 12:41:45,#Eurovision #JudgmentDay,0,serious nice femal play eurovis judgmentday pic twitter com hop jcd
127,#Eurovision Never mind. 1000 points for the dress!,2018-05-12 12:40:10,#Eurovision,0,eurovis mind point dress
128,"Estonia are good, and I'm digging the dress effects. Even if it makes her look like the T- 1000 /Sandman/a jellyfish #eurovision",2018-05-12 12:40:01,#eurovision,0,estonia good dig dress effect make look like sandman jellyfish eurovis
129,I'm worried that she's rising from a pool of liquid metal and she may actually be a T- 1000 . #EST #Eurovision,2018-05-12 12:39:38,#EST #Eurovision,3,worri rise pool liquid metal actual est eurovis
130,I’m pretty sure a T- 1000 is lurking in that dress. #EST #Eurovision,2018-05-12 12:39:06,#EST #Eurovision,2,pretti sure lurk dress est eurovis
131,The t- 1000 and the opera singer from the fifth element got a child and she is representing Estonia #Eurovision,2018-05-12 12:38:56,#Eurovision,0,opera singer fifth element got child repres estonia eurovis
132,I do feel like I’ve heard this song 1000 times before though #Eurovision #AUT,2018-05-12 12:35:09,#Eurovision #AUT,0,feel like ve heard song time eurovis aut
133,One mile Ieva? Vanessa Carlton would walk 1000 . #Eurovision #Eurovision2018 Love the song though.,2018-05-12 12:33:03,#Eurovision #Eurovision2018,0,mile ieva vanessa carlton walk eurovis eurovis love song
